Airport	Sentiment
Kiel-Holtenau Airport	5.881648429070928
Lübeck Blankensee Airport	5.881648429070928
Benbecula Airport	5.882052455599954
Scatsta Airport	5.882052455599954
Dundee Airport	5.882052455599954
Stornoway Airport	5.882052455599954
Wonderboom Airport	5.883855231990232
Witbank Airport	5.883855231990232
Vredendal Airport	5.88395047008547
Kenitra Airport	5.884154581529582
Ouarzazate Airport	5.884154581529582
Cherif Al Idrissi Airport	5.884154581529582
Saniat R'mel Airport	5.884154581529582
Joensuu Airport	5.884815056055056
Fort Nelson Airport	5.884893737373737
Gilze Rijen Air Base	5.885281385836386
De Kooy Airport	5.885281385836386
Waterkloof Air Force Base	5.885805231990231
Welkom Airport	5.885805231990231
Al Massira Airport	5.88622101010101
Lelystad Airport	5.886566385836386
Leeuwarden Air Base	5.886566385836386
Rotterdam The Hague Airport	5.886566385836386
Soesterberg Air Base	5.886566385836386
Tambacounda Airport	5.886973708513709
Aioun el Atrouss Airport	5.886973708513709
Nnamdi Azikiwe International Airport	5.887793102453103
Ech Cheliff Airport	5.88813588023088
Zenata – Messali El Hadj Airport	5.88813588023088
Es Senia Airport	5.88813588023088
Berlin-Tempelhof International Airport	5.888185642135642
Hamburg-Finkenwerder Airport	5.8889150957375955
Mannheim-City Airport	5.8899684992785
Allendorf/Eder Airport	5.8899684992785
Worms Airport	5.8899684992785
Mainz-Finthen Airport	5.8899684992785
Spriggs Payne Airport	5.890234898989899
Roberts International Airport	5.890234898989899
Eisenach-Kindel Airport	5.890248499278499
Siegerland Airport	5.890248499278499
Wilhelmshaven-Mariensiel Airport	5.890557328782328
Borkum Airport	5.890557328782328
Tan Tan Airport	5.8916210101010105
Saïss Airport	5.8916210101010105
Ifrane Airport	5.8916210101010105
Ben Slimane Airport	5.891749581529582
Rabat-Salé Airport	5.891749581529582
Angads Airport	5.891996010101011
New Tempe Airport	5.8936322161172185
Gusau Airport	5.8940264357864365
Skukuza Airport	5.894127216117218
Tommys Field Airport	5.894127216117218
Armstrong Airport	5.894262070707071
Wick Airport	5.894853343045843
Aberdeen Dyce Airport	5.894853343045843
Inverness Airport	5.894853343045843
Glasgow International Airport	5.894853343045843
Norderney Airport	5.894857328782328
Churchill Airport	5.895168737373738
Ain Oussera Airport	5.895298737373737
Tutuka Power Station Airport	5.895343327228328
Tzaneen Airport	5.895343327228328
Prince Mangosuthu Buthelezi Airport	5.895343327228328
Pierre Van Ryneveld Airport	5.895343327228328
K. D. Matanzima Airport	5.895343327228328
Vryburg Airport	5.895343327228328
Düsseldorf International Airport	5.895478499278498
Munich International Airport	5.895478499278498
Leipzig Halle Airport	5.895478499278498
Djanet Inedbirene Airport	5.8956087373737365
Boufarik Airport	5.8956087373737365
Reggane Airport	5.8956087373737365
Victoria International Airport	5.895768737373738
Tidjikja Airport	5.896256010101012
Kiffa Airport	5.896256010101012
Néma Airport	5.896256010101012
Ibn Batouta Airport	5.897371248196248
Jijel Ferhat Abbas Airport	5.897728737373739
Mecheria Airport	5.897728737373739
Immola Airport	5.898081722721724
Kitee Airport	5.898081722721724
Ivalo Airport	5.898081722721724
Sumburgh Airport	5.898506676379177
Sfax Thyna International Airport	5.898597864357864
Tozeur Nefta International Airport	5.898597864357864
Maiduguri International Airport	5.8991164357864365
Makurdi Airport	5.8991164357864365
Murtala Muhammed International Airport	5.8991164357864365
Minna Airport	5.8991164357864365
Port Harcourt International Airport	5.8991164357864365
Sadiq Abubakar III International Airport	5.8991164357864365
Yola Airport	5.8991164357864365
Zaria Airport	5.8991164357864365
Maradi Airport	5.8991164357864365
Diori Hamani International Airport	5.8991164357864365
Tahoua Airport	5.8991164357864365
Mano Dayak International Airport	5.8991164357864365
Dirkou Airport	5.8991164357864365
Diffa Airport	5.8991164357864365
Zinder Airport	5.8991164357864365
Monastir Habib Bourguiba International Airport	5.8991164357864365
Gabès Matmata International Airport	5.899590721500722
Borj El Amri Airport	5.899590721500722
Djerba Zarzis International Airport	5.899590721500722
El Borma Airport	5.899590721500722
Helsinki Vantaa Airport	5.900982328782328
Hameenkyro Airport	5.900982328782328
Mallam Aminu International Airport	5.901116435786435
Flensburg-Schäferhaus Airport	5.902990662115661
Rendsburg-Schachtholm Airport	5.902990662115661
Westerland Sylt Airport	5.902990662115661
Ämari Air Base	5.902990662115661
Kärdla Airport	5.902990662115661
Kuressaare Airport	5.902990662115661
Pärnu Airport	5.902990662115661
Lennart Meri Tallinn Airport	5.902990662115661
Tartu Airport	5.902990662115661
Enontekio Airport	5.902990662115661
Eura Airport	5.902990662115661
Halli Airport	5.902990662115661
Helsinki Malmi Airport	5.902990662115661
Ghriss Airport	5.903252546897547
Touat Cheikh Sidi Mohamed Belkebir Airport	5.903252546897547
Biskra Airport	5.903252546897547
Relizane Airport	5.903285880230881
Annaba Airport	5.903285880230881
Aguenar – Hadj Bey Akhamok Airport	5.903758737373738
Hanko Airport	5.904008995448994
Hyvinkää Airfield	5.904008995448994
Kiikala Airport	5.904008995448994
Kirkwall Airport	5.904530485902987
Edinburgh Airport	5.904750312742813
Illizi Takhamalt Airport	5.9067987373737365
Cadjehoun Airport	5.908377546897547
Ouagadougou Airport	5.908377546897547
Bobo Dioulasso Airport	5.908377546897547
Kotoka International Airport	5.908377546897547
Tamale Airport	5.908377546897547
Wa Airport	5.908377546897547
Sunyani Airport	5.908377546897547
Takoradi Airport	5.908377546897547
Port Bouet Airport	5.908377546897547
Bouaké Airport	5.908377546897547
